,0
Feature 0,0.0
Feature 1,0.0
Feature 2,0.0
Feature 3,0.0
Feature 4,0.0
Feature 5,0.0
Feature 6,0.0
Feature 7,0.0
Feature 8,0.0
Feature 9,0.0
Feature 10,2.175934176373099e-06
Feature 11,2.0226913643425716e-07
Feature 12,2.438429322324594e-06
Feature 13,6.939879062658581e-07
Feature 14,5.293816546687016e-07
Feature 15,6.51204732351434e-08
Feature 16,5.608136893687402e-07
Feature 17,2.307037714977448e-07
Feature 18,1.047324954546234e-06
Feature 19,6.68657801505325e-08
Feature 20,1.7122743113268812e-05
Feature 21,4.495369693865512e-06
Feature 22,3.92285356786862e-05
Feature 23,2.176593324098668e-06
Feature 24,4.967193893244181e-06
Feature 25,8.323667037621049e-07
Feature 26,1.5525208063619513e-05
Feature 27,3.995307893501834e-06
Feature 28,3.2599800315558444e-05
Feature 29,2.067304311701483e-06
Feature 30,2.622698248585452e-05
Feature 31,3.6630931599084606e-06
Feature 32,1.9382667420924237e-05
Feature 33,2.918343597739878e-06
Feature 34,9.970051144934993e-06
Feature 35,1.3859463982364394e-06
Feature 36,1.8019607042791314e-05
Feature 37,3.362856021671381e-06
Feature 38,3.1972096013435624e-05
Feature 39,1.9668665163502166e-06
Feature 40,3.181598983867747e-05
Feature 41,9.746555835052211e-06
Feature 42,1.3556269739504858e-05
Feature 43,8.883252563748601e-06
Feature 44,7.159532885344599e-06
Feature 45,3.572428034866902e-06
Feature 46,2.5193235364058004e-05
Feature 47,4.559348474649992e-06
Feature 48,1.709031742454049e-05
Feature 49,3.130292201736559e-06
Feature 50,4.437670262002813e-05
Feature 51,1.731401306414186e-05
Feature 52,3.534239928748495e-05
Feature 53,2.746989789088036e-05
Feature 54,1.2002990870215002e-05
Feature 55,6.130332556801931e-06
Feature 56,8.016111783588032e-05
Feature 57,1.3265618572727136e-05
Feature 58,4.42579675044868e-05
Feature 59,1.1655342641580286e-05
Feature 60,0.0001891269414262915
Feature 61,0.00017176913684682226
Feature 62,0.00014242814479852405
Feature 63,0.00028413307920404664
Feature 64,3.856329736387476e-05
Feature 65,1.6570411974347894e-05
Feature 66,0.0003306333238322843
Feature 67,4.183522394218974e-05
Feature 68,9.272700958268398e-05
Feature 69,4.232510068178054e-05
Feature 70,0.000365738249490704
Feature 71,0.00029053180823026815
Feature 72,0.00022331952387895626
Feature 73,0.00034719690018292936
Feature 74,0.00012694423460724735
Feature 75,3.551894496347625e-05
Feature 76,0.00039818435692912145
Feature 77,0.0001000784500824867
Feature 78,0.00012639177338328979
Feature 79,0.00010441880814735005
Feature 80,0.0005250883716145438
Feature 81,0.00041375847221318416
Feature 82,0.000277437574307438
Feature 83,0.0006339344071441934
Feature 84,0.00032063765881580375
Feature 85,4.525761660286115e-05
Feature 86,0.00026500117369208454
Feature 87,0.00015187018823468207
Feature 88,0.00019390182556065216
Feature 89,0.00011047048197202841
Feature 90,0.0006301833448583478
Feature 91,0.0008448345744339107
Feature 92,0.0005712761271801696
Feature 93,0.0005893422328779394
Feature 94,0.0010121633472350666
Feature 95,0.00012777700055240177
Feature 96,0.0011052361358338202
Feature 97,0.00023401114421229896
Feature 98,0.0009381874920256337
Feature 99,0.00034509049604314844
Feature 100,0.0011965543095741396
Feature 101,0.0028757400575364044
Feature 102,0.004015172916429947
Feature 103,0.0016963660495691783
Feature 104,0.0038801809492254053
Feature 105,0.0004898855126158397
Feature 106,0.0020016907277404243
Feature 107,0.0008759939126299017
Feature 108,0.0027934745388341754
Feature 109,0.0006734057444991412
Feature 110,0.0013264430295718626
Feature 111,0.001762148050520807
Feature 112,0.0023938357528568302
Feature 113,0.0015978595894493993
Feature 114,0.0016742301156048142
Feature 115,0.0005132595658084256
Feature 116,0.0022534066086973325
Feature 117,0.0008364529479630463
Feature 118,0.0025613306017271496
Feature 119,0.000512483664018049
Feature 120,0.0016326876793647217
Feature 121,0.0017945857724885172
Feature 122,0.003917685637433123
Feature 123,0.0011179000572570316
Feature 124,0.0034275678193607744
Feature 125,0.0007932619147295874
Feature 126,0.003811576016182869
Feature 127,0.0009667007614612903
Feature 128,0.0017132941431281096
Feature 129,0.0006562289417691005
Feature 130,0.0019776061006170948
Feature 131,0.001894083248518882
Feature 132,0.002923552936227509
Feature 133,0.0020391797942902485
Feature 134,0.006439142639435431
Feature 135,0.001140882100209275
Feature 136,0.003198677693709669
Feature 137,0.001044014796632868
Feature 138,0.002334032293250516
Feature 139,0.0007152684874798663
Feature 140,0.0014681523339315846
Feature 141,0.002488731568005505
Feature 142,0.002996155197253984
Feature 143,0.0035928460675695535
Feature 144,0.00515445131045999
Feature 145,0.0009513312655690953
Feature 146,0.003747501984075143
Feature 147,0.0011324177562787555
Feature 148,0.0042813422609742705
Feature 149,0.0006525141569284187
Feature 150,0.0015308628075531487
Feature 151,0.0005153774163179605
Feature 152,0.004141744614719372
Feature 153,0.0007818149036923146
Feature 154,0.004029395818227613
Feature 155,0.0009473527116174055
Feature 156,0.002614421169070198
Feature 157,0.0010249649265730305
Feature 158,0.0014474193919000698
Feature 159,0.0005898307207192914
Feature 160,0.0018701721743972256
Feature 161,0.000982136424872948
Feature 162,0.002120727899537542
Feature 163,0.0017903224252548853
Feature 164,0.0010537297329650528
Feature 165,0.0005780862012842896
Feature 166,0.004767282402724959
Feature 167,0.0011173330864295394
Feature 168,0.0010961732357797588
Feature 169,0.0005726631722584674
Feature 170,0.0017649683927611476
Feature 171,0.0017907459744883453
Feature 172,0.004243752483074331
Feature 173,0.0022960018604658216
Feature 174,0.0022703401642045263
Feature 175,0.0005314081102905775
Feature 176,0.004520362956624013
Feature 177,0.0006786366067219944
Feature 178,0.0025017828620846104
Feature 179,0.0005744302421717293
Feature 180,0.0009232434161761489
Feature 181,0.0024702119091722353
Feature 182,0.002035251391075917
Feature 183,0.0009628682057081548
Feature 184,0.0019741247260678845
Feature 185,0.0002934522589114934
Feature 186,0.001367077358059717
Feature 187,0.0005701359908185193
Feature 188,0.0016346791427754397
Feature 189,0.0003500685561964545
Feature 190,0.0009840888192466082
Feature 191,0.0021809852575080057
Feature 192,0.0006652180409157325
Feature 193,0.0007795293467097828
Feature 194,0.0007582544851649118
Feature 195,0.00015377403797104262
Feature 196,0.0012979078607943109
Feature 197,0.0004927257036956346
Feature 198,0.0006279090778728218
Feature 199,0.00018544323436429265
Feature 200,0.0007450412417416033
Feature 201,0.0005585796088440773
Feature 202,0.00031416940486089117
Feature 203,0.00022051150748436755
Feature 204,0.00024428730576855174
Feature 205,9.980360833197784e-05
Feature 206,0.0008904908416149908
